id,product_name,category,price,quantity,sale_date,customer_id,region
1,Laptop Computer,Electronics,999.99,2,2025-01-15,101,North
2,Office Chair,Furniture,249.50,1,2025-01-16,102,South
3,Coffee Maker,Appliances,79.99,3,2025-01-17,103,East
4,Smartphone,Electronics,699.00,1,2025-01-18,104,West
5,Desk Lamp,Furniture,45.99,2,2025-01-19,105,North
6,Blender,Appliances,129.99,1,2025-01-20,106,South
7,Tablet,Electronics,399.99,2,2025-01-21,107,East
8,Bookshelf,Furniture,199.99,1,2025-01-22,108,West
9,Microwave,Appliances,189.99,1,2025-01-23,109,North
10,Monitor,Electronics,299.99,2,2025-01-24,110,South
11,Sofa,Furniture,899.99,1,2025-01-25,111,East
12,Refrigerator,Appliances,1299.99,1,2025-01-26,112,West
13,Gaming Mouse,Electronics,89.99,3,2025-01-27,113,North
14,Dining Table,Furniture,549.99,1,2025-01-28,114,South
15,Toaster,Appliances,39.99,2,2025-01-29,115,East
16,Keyboard,Electronics,129.99,1,2025-01-30,116,West
17,Wardrobe,Furniture,699.99,1,2025-01-31,117,North
18,Vacuum Cleaner,Appliances,249.99,1,2025-02-01,118,South
19,Webcam,Electronics,59.99,4,2025-02-02,119,East
20,Nightstand,Furniture,149.99,2,2025-02-03,120,West
21,Air Fryer,Appliances,199.99,1,2025-02-04,121,North
